,,,,zone id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
产品ID,开始重量,结束重量,总价单价标志,单位（单价有效）,"美国,加拿大",澳洲，新西兰,德国，英国，法国,墨西哥,日本,澳门,"东南亚
（新加坡，菲律宾，南韩，文莱，台湾，马来西亚，泰国）","南亚
（印尼，柬埔寨，老挝，越南）","欧洲
（比利时，意大利，卢森堡，荷兰，圣马力诺,奥地利,丹麦,芬兰,希腊,根西岛,爱尔兰共和国,泽西岛,挪威,葡萄牙,西班牙,瑞典,瑞士,保加利亚,塞浦路斯,爱沙尼亚,拉脱维亚,立陶宛,马耳他,斯洛伐克,斯洛文尼亚,捷克，匈牙利，波兰，罗马尼亚,捷克，匈牙利，波兰，罗马尼亚）","中东
（巴基斯坦,阿联酋,巴林,伊朗,卡塔尔,科威特,约旦,土耳其,伊拉克,以色列,黎巴嫩,阿曼,沙特阿拉伯,苏丹,叙利亚,也门）","南美
（多米尼加，洪都拉斯，巴拿马，巴拉圭，委内瑞拉）","南美其他
（智利,哥斯达黎加,多米尼加共和国,秘鲁,特立尼达和多巴哥，阿根廷,巴西,古巴,牙买加,乌拉圭，安挂拉，安提瓜,阿鲁巴，巴哈马等）","非洲
（埃及，厄立特里亚,埃塞俄比亚,肯尼亚,利比亚,南非,乌干达，非洲其他国家（刚果，多哥等））","欧洲其他
（安道尔,加那利群岛,非罗岛,直布罗陀,格陵兰,冰岛，阿富汗，科索沃，俄罗斯等）","东南亚其他
（东南亚，北韩，南太平洋等国家）",印度，斯里兰卡,"非洲
（安哥拉,刚果共和国,科特迪瓦，布基纳法索,中非,几内亚共和国,利比里亚,马里,尼日尔,塞拉里昂）"
1,0,0.5,1,0,140,103.5,140,160,115,110,100,108.5,140,155,155,155,160,175,194.5,194.5,269
1,0.5,1,1,0,156,135.5,170,192,150,148.5,124,147.5,170,190,190,202,198,215,245,244.5,346
1,1,1.5,1,0,182,167.5,200,224,185,187,148,186.5,200,225,225,249,236,255,295.5,294.5,423
1,1.5,2,1,0,208,199.5,230,256,220,225.5,172,225.5,230,260,260,296,274,295,346,344.5,500
1,2,2.5,1,0,234,231.5,260,288,255,264,196,264.5,260,295,295,343,312,335,396.5,394.5,577
1,2.5,3,1,0,260,263.5,290,320,290,302.5,220,303.5,290,330,330,390,350,375,447,444.5,654
1,3,3.5,1,0,286,295.5,320,352,325,341,244,342.5,320,365,365,437,388,415,497.5,494.5,731
1,3.5,4,1,0,312,327.5,350,384,360,379.5,268,381.5,350,400,400,484,426,455,548,544.5,808
1,4,4.5,1,0,338,359.5,380,416,395,418,292,420.5,380,435,435,531,464,495,598.5,594.5,885
