,,,,zone id,40,41,42,43,44,45,46,47,48
产品ID,开始重量,结束重量,总价单价标志,单位（单价有效）,五区,四区,六区,三区,一区,二区,七区,八区,九区
2,0,0.5,1,0,156,136.5,182,123.5,84.5,117,195,218,290
2,0.5,1,1,0,205,172.5,231,153,104,143,247,283,368
2,1,1.5,1,0,254,208.5,280,182.5,123.5,169,299,348,446
2,1.5,2,1,0,303,244.5,329,212,143,195,351,413,524
2,2,2.5,1,0,352,280.5,378,241.5,162.5,221,403,478,602
2,2.5,3,1,0,401,316.5,427,271,182,247,455,543,680
2,3,3.5,1,0,450,352.5,476,300.5,201.5,273,507,608,758
2,3.5,4,1,0,499,388.5,525,330,221,299,559,673,836
2,4,4.5,1,0,548,424.5,574,359.5,240.5,325,611,738,914
2,4.5,5,1,0,597,460.5,623,389,260,351,663,803,992
2,5,5.5,1,0,646,496.5,672,418.5,279.5,377,715,868,1070
2,5.5,6,1,0,695,532.5,721,448,299,403,767,933,1148
2,6,6.5,1,0,744,568.5,770,477.5,318.5,429,819,998,1226
2,6.5,7,1,0,793,604.5,819,507,338,455,871,1063,1304
2,7,7.5,1,0,842,640.5,868,536.5,357.5,481,923,1128,1382
2,7.5,8,1,0,891,676.5,917,566,377,507,975,1193,1460
2,8,8.5,1,0,940,712.5,966,595.5,396.5,533,1027,1258,1538
2,8.5,9,1,0,989,748.5,1015,625,416,559,1079,1323,1616
2,9,9.5,1,0,1038,784.5,1064,654.5,435.5,585,1131,1388,1694
2,9.5,10,1,0,1087,820.5,1113,684,455,611,1183,1453,1772
2,10,10.5,1,0,1136,856.5,1162,713.5,474.5,637,1235,1518,1850
2,10.5,11,1,0,1185,892.5,1211,743,494,663,1287,1583,1928
2,11,11.5,1,0,1234,928.5,1260,772.5,513.5,689,1339,1648,2006
2,11.5,12,1,0,1283,964.5,1309,802,533,715,1391,1713,2084
2,12,12.5,1,0,1332,1000.5,1358,831.5,552.5,741,1443,1778,2162
2,12.5,13,1,0,1381,1036.5,1407,861,572,767,1495,1843,2240
2,13,13.5,1,0,1430,1072.5,1456,890.5,591.5,793,1547,1908,2318
2,13.5,14,1,0,1479,1108.5,1505,920,611,819,1599,1973,2396
2,14,14.5,1,0,1528,1144.5,1554,949.5,630.5,845,1651,2038,2474
2,14.5,15,1,0,1577,1180.5,1603,979,650,871,1703,2103,2552
2,15,15.5,1,0,1626,1216.5,1652,1008.5,669.5,897,1755,2168,2630
2,15.5,16,1,0,1675,1252.5,1701,1038,689,923,1807,2233,2708
2,16,16.5,1,0,1724,1288.5,1750,1067.5,708.5,949,1859,2298,2786
2,16.5,17,1,0,1773,1324.5,1799,1097,728,975,1911,2363,2864
2,17,17.5,1,0,1822,1360.5,1848,1126.5,747.5,1001,1963,2428,2942
2,17.5,18,1,0,1871,1396.5,1897,1156,767,1027,2015,2493,3020
2,18,18.5,1,0,1920,1432.5,1946,1185.5,786.5,1053,2067,2558,3098
2,18.5,19,1,0,1969,1468.5,1995,1215,806,1079,2119,2623,3176
2,19,19.5,1,0,2018,1504.5,2044,1244.5,825.5,1105,2171,2688,3254
2,19.5,20,1,0,2067,1540.5,2093,1274,845,1131,2223,2753,3332
2,20,20.5,1,0,2116,1576.5,2142,1303.5,864.5,1157,2275,2818,3410
2,20.5,21,1,0,2165,1612.5,2191,1333,884,1183,2327,2883,3488
2,21,21.5,1,0,2214,1648.5,2240,1362.5,903.5,1209,2379,2948,3566
2,21.5,22,1,0,2263,1684.5,2289,1392,923,1235,2431,3013,3644
2,22,22.5,1,0,2312,1720.5,2338,1421.5,942.5,1261,2483,3078,3722
2,22.5,23,1,0,2361,1756.5,2387,1451,962,1287,2535,3143,3800
2,23,23.5,1,0,2410,1792.5,2436,1480.5,981.5,1313,2587,3208,3878
2,23.5,24,1,0,2459,1828.5,2485,1510,1001,1339,2639,3273,3956
2,24,24.5,1,0,2508,1864.5,2534,1539.5,1020.5,1365,2691,3338,4034
2,24.5,25,1,0,2557,1900.5,2583,1569,1040,1391,2743,3403,4112
2,25,25.5,1,0,2606,1936.5,2632,1598.5,1059.5,1417,2795,3468,4190
2,25.5,26,1,0,2655,1972.5,2681,1628,1079,1443,2847,3533,4268
2,26,26.5,1,0,2704,2008.5,2730,1657.5,1098.5,1469,2899,3598,4346
2,26.5,27,1,0,2753,2044.5,2779,1687,1118,1495,2951,3663,4424
2,27,27.5,1,0,2802,2080.5,2828,1716.5,1137.5,1521,3003,3728,4502
2,27.5,28,1,0,2851,2116.5,2877,1746,1157,1547,3055,3793,4580
2,28,28.5,1,0,2900,2152.5,2926,1775.5,1176.5,1573,3107,3858,4658
2,28.5,29,1,0,2949,2188.5,2975,1805,1196,1599,3159,3923,4736
2,29,29.5,1,0,2998,2224.5,3024,1834.5,1215.5,1625,3211,3988,4814
2,29.5,30,1,0,3047,2260.5,3073,1864,1235,1651,3263,4053,4892
