,,,,zone id,18,19,20,21,22,23,24,25,26
产品ID,开始重量,结束重量,总价单价标志,单位（单价有效）,Zone5,Zone3,Zone6,Zone1,Zone2,Zone7,Zone4,Zone8,Zone9
3,0,0.5,1,0,140,137,175,84,112,175,220,216,284
3,0.5,1,1,0,162,162,207,100,133,210,250,252,362
3,1,1.5,1,0,185,187,238,115,154,240,279,288,440
3,1.5,2,1,0,207,212,270,130,175,271,309,325,519
3,2,2.5,1,0,230,237,302,145,196,306,339,361,597
3,2.5,3,1,0,253,262,326,160,217,336,368,397,675
3,3,3.5,1,0,276,287,349,175,237,358,397,434,753
3,3.5,4,1,0,299,312,372,190,258,379,427,470,831
3,4,4.5,1,0,321,337,396,205,279,401,456,505,908
3,4.5,5,1,0,344,362,419,220,300,422,486,541,986
3,5,5.5,1,0,364,387,438,228,320,442,511,573,1041
3,5.5,6,1,0,384,412,458,236,342,461,535,605,1095
3,6,6.5,1,0,403,438,478,244,363,480,560,636,1150
3,6.5,7,1,0,422,464,497,252,384,499,584,668,1204
3,7,7.5,1,0,442,489,517,260,405,519,608,700,1259
3,7.5,8,1,0,462,514,536,268,426,540,633,726,1313
3,8,8.5,1,0,481,539,554,277,447,561,657,756,1368
3,8.5,9,1,0,502,564,574,286,468,582,682,788,1422
3,9,9.5,1,0,521,588,593,294,488,604,706,818,1477
3,9.5,10,1,0,541,614,612,303,509,624,730,849,1531
3,10,10.5,1,0,558,635,631,314,527,644,750,873,1586
3,10.5,11,1,0,575,656,650,325,544,664,769,896,1640
3,11,11.5,1,0,592,678,670,335,561,683,790,920,1695
3,11.5,12,1,0,608,699,690,346,578,703,809,944,1749
3,12,12.5,1,0,625,720,709,357,596,722,829,968,1804
3,12.5,13,1,0,643,742,729,368,613,741,853,992,1847
3,13,13.5,1,0,660,763,748,379,630,760,877,1015,1890
3,13.5,14,1,0,676,784,767,391,648,779,900,1039,1934
3,14,14.5,1,0,693,806,787,402,665,798,924,1063,1977
3,14.5,15,1,0,710,827,806,413,682,817,948,1086,2020
3,15,15.5,1,0,728,845,818,422,697,834,972,1107,2064
3,15.5,16,1,0,746,864,831,432,712,850,996,1127,2108
3,16,16.5,1,0,764,881,842,442,726,866,1020,1148,2151
3,16.5,17,1,0,782,900,855,451,741,883,1044,1168,2195
3,17,17.5,1,0,801,918,867,461,756,899,1068,1188,2239
3,17.5,18,1,0,814,936,879,466,770,908,1069,1192,2282
3,18,18.5,1,0,828,955,891,471,783,917,1071,1194,2325
3,18.5,19,1,0,842,973,904,475,790,925,1076,1198,2368
3,19,19.5,1,0,856,978,915,478,796,934,1080,1200,2412
3,19.5,20,1,0,862,983,927,480,800,940,1084,1203,2455
3,20,44,2,1,39,46,43,21,35,43,51,55,115
3,44,70,2,1,36,39,37,19,31,37,43,54,106
3,70,99,2,1,33,39,34,17,29,34,40,52,93
3,99,299,2,1,32,39,33,17,29,34,40,52,93
3,299,499,2,1,32,38,33,17,29,33,40,51,91
3,499,999,2,1,31,38,32,17,29,33,39,50,91
3,999,10000,2,1,31,37,32,16,28,32,39,50,90
